a	aː
ëmgepoolt	əmgəpoːlt
ëmprogramméieren	əmpʀogʀɑmɜɪəʀən
ëmprogramméiert	əmpʀogʀɑmɜɪɐt
ëmpuchen	əmpuχən
ëmgepucht	əmgəpuχt
ëmquartéieren	əmkwaːʀtɜɪəʀən
ëmquartéiert	əmkwaːʀtɜɪɐt
ëmräissen	əmʀæːɪsən
ëmgerass	əmgəʀɑs
ëmrass	əmʀɑs
ëmrappen	əmʀɑpən
ëmgerappt	əmgəʀɑpt
ëmraumen	əmʀɑʊmən
ëmgeraumt	əmgəʀæːʊmt
ëmrechnen	əmʀæɕnən
ëmgerechent	əmgəʀæɕənt
ëmrennen	əmʀænən
ëmgerannt	əmgəʀɑnt
ëmrëss	əmʀəs
ëmsaz	əmzaːts
ëmsätz	əmsæts
ëmschaffen	əmʃɑfən
ëmgeschafft	əmgəʃɑft
ëmschalten	əmʃɑltən
ëmgeschalt	əmgəʃɑlt
ëmschëdden	əmʃədən
ëmgeschott	əmgəʃot
ëmschlag	əmʃlaːχ
ëmschléi	əmʃlɜɪ
ëmschloen	əmʃloːən
ëmgeschloen	əmgəʃloːən
ëmschmäissen	əmʃmæːɪsən
ëmgeschmass	əmgəʃmɑs
ëmschoulen	əmʃəʊlən
ëmgeschoult	əmgəʃəʊlt
ëmschreiwen	əmʃʀɑɪvən
ëmschriwwen	əmʃʀivən
ëmgeschriwwen	əmgəʃʀivən
ëmschreiwung	əmʃʀɑɪvuŋ
ëmschreiwungen	əmʃʀɑɪvuŋən
ëmschwäermen	əmʃwɛːɐmən
ëmschwäermt	əmʃwɛːɐmt
ëmschwong	əmʃwoŋ
ëmschwéng	əmʃweŋ
ëmschwonk	əmʃwoŋk
ëmseeën	əmzeːən
ëmgeseet	əmgəzeːt
ëmsetzen	əmzætsən
ëmgesat	əmgəsaːt
ëmsetzung	əmzætsuŋ
ëmsinn	əmzin
ëmsoss	əmzos
ëmsou	əmzəʊ
ëmsprangen	əmʃpʀɑŋən
ëmgesprongen	əmgəʃpʀoŋən
ëmstand	əmʃtɑnt
ëmstänn	əmʃtæn
ëmständlech	əmʃtændləɕ
ëmsteigen	əmʃtɑɪʑən
ëmgestigen	əmgəʃtiʑən
ëmstellen	əmʃtælən
ëmstallt	əmʃtɑlt
ëmgestallt	əmgəʃtɑlt
ëmstellung	əmʃtæluŋ
ëmstellungen	əmʃtæluŋən
ëmstëmmen	əmʃtəmən
ëmgestëmmt	əmgəʃtəmt
ëmstoussen	əmʃtəʊsən
ëmgestouss	əmgəʃtəʊs
ëmstridden	əmʃtʀidən
ëmstrukturéieren	əmʃtʀuktyːʀɜɪəʀən
ëmstrukturéiert	əmʃtʀuktyːʀɜɪɐt
ëmsuedelen	əmzuədələn
ëmgesuedelt	əmgəzuədəlt
ëmtauschen	əmtæːʊʃən
ëmgetosch	əmgətoʃ
ëmtippen	əmtipən
ëmgetippt	əmgətipt
ëmtrëllen	əmtʀələn
ëmgetrollt	əmgətʀolt
ëmverdeelen	əmfɐdeːlən
ëmverdeelt	əmfɐdeːlt
ëmwandelen	əmwɑndələn
ëmgewandelt	əmgəvɑndəlt
ëmwee	əmweː
ëmweeër	əmweːɐ
ëmwelt	əmwælt
ëmweltbelaaschtung	əmwæltbəlaːʃtuŋ
ëmweltbewosst	əmwæltbəvost
ëmweltfrëndlech	əmwæltfʀəndləɕ
ëmweltkommissioun	əmwæltkomisjəʊn
ëmweltkommissiounen	əmwæltkomisjəʊnən
ëmweltminister	əmwæltministɐ
ëmweltministeren	əmwæltministəʀən
ëmweltministère	əmwæltministɛːʀ
ëmweltministèren	əmwæltministɛːʀən
ëmweltministerin	əmwæltministəʀin
ëmweltministerinnen	əmwæltministəʀinən
ëmweltministesch	əmwæltministəʃ
ëmweltministeschen	əmwæltministəʃən
ëmweltofkommes	əmwæltoːfkoməs
ëmweltofkommessen	əmwæltoːfkoməsən
ëmweltorganisatioun	əmwæltɔʀgaːnizatsjəʊn
ëmweltorganisatiounen	əmwæltɔʀgaːnizatsjəʊnən
ëmweltproblematik	əmwæltpʀobleːmaːtik
ëmweltschiedlech	əmwæltʃiədləɕ
ëmweltschutz	əmwæltʃuts
ëmweltschützer	əmwæltʃytsɐ
ëmweltschützerin	əmwæltʃytsəʀin
ëmweltschützerinnen	əmwæltʃytsəʀinən
ëmweltverschmotzung	əmwæltfɐʃmotsuŋ
ëmweltvirschrëft	əmwæltfiːɐʃʀəft
ëmweltvirschrëften	əmwæltfiːɐʃʀəftən
ëmwiesselen	əmwiəsələn
ëmgewiesselt	əmgəviəsəlt
ëmzéngelen	əmtseŋələn
ëmzéngelt	əmtseŋəlt
ëmzuch	əmtsuχ
ëmzich	əmtsiɕ
en	ən
enaner	enaːnɐ
encadréieren	ɑ̃ːkɑdʀɜɪəʀən
encadréiert	ɑ̃ːkɑdʀɜɪɐt
encadrement	ɑ̃ːkɑdʀəmænt
encadrementer	ɑ̃ːkɑdʀəmæntɐ
enchantéiert	ɑ̃ːʃɑ̃ːtɜɪɐt
encouragéieren	ɑ̃ːkuʀɑʒɜɪəʀən
encouragéiert	ɑ̃ːkuʀɑʒɜɪɐt
encouragement	ɑ̃ːkuʀɑʒəmænt
encouragementer	ɑ̃ːkuʀɑʒəmæntɐ
endeffekt	ændəffækt
endgülteg	ændʒyːltəɕ
endlech	ændləɕ
endlos	ændloːs
endoskop	ændoːskop
endoskoper	ændoːskopɐ
endoskopie	ændoːskopiː
endoskopien	ændoːskopiːən
endprodukt	ændpʀodukt
endprodukter	ændpʀoduktɐ
endung	ænduŋ
endungen	ænduŋən
eneen	əneːn
energesch	enɛʀʒəʃ
energie	enɛʀʒiː
energien	enɛʀʒiːən
energieleeschtung	enɛʀʒiːəleːʃtuŋ
energieleeschtungen	enɛʀʒiːəleːʃtuŋən
energieleeschtungsklass	enɛʀʒiːəleːʃtuŋsklɑs
energieleeschtungsklassen	enɛʀʒiːəleːʃtuŋsklɑsən
energiepass	enɛʀʒiːəpɑs
energiepäss	enɛʀʒiːəpæs
energiepräis	enɛʀʒiːəpʀæːɪs
energiepräisser	enɛʀʒiːəpʀæːɪsɐ
energiequell	enɛʀʒiːkwæl
energiequellen	enɛʀʒiːkwælən
energieverbrauch	enɛʀʒiːfɐbʀæːʊχ
eng	æŋ
engagéieren	ɑ̃ːgaːʒɜɪəʀən
engagéiert	ɑ̃ːgaːʒɜɪɐt
engagement	ɑ̃ːgaːʒəmænt
engagementer	ɑ̃ːgaːʒəmæntɐ
engel	æŋəl
engelen	æŋələn
engem	æŋəm
enger	æŋɐ
engersäits	æŋɐzæːɪts
enges	æŋəs
england	æŋlɑnt
englänner	æŋlænɐ
englännerin	æŋlænəʀin
englännerinnen	æŋlænəʀinən
englesch	æŋləʃ
engleschprofesser	æŋləʃpʀofæsɐ
engleschprofesseren	æŋləʃpʀofæsəʀən
engleschprofessesch	æŋləʃpʀofæsəʃ
engleschprofesseschen	æŋləʃpʀofæsəʃən
engleschprofessorin	æŋləʃpʀofæsɔʀin
engleschprofessorinnen	æŋləʃpʀofæsɔʀinən
engleschproff	æŋləʃpʀof
engleschproffen	æŋləʃpʀofən
eniichter	eniːɕtɐ
enk	æŋk
enkel	æŋkəl
enkelen	æŋkələn
enkelchen	æŋkəlɕən
enkelcher	æŋkəlɕɐ
enkelin	æŋkəlin
enkelinnen	æŋkəlinən
enkelkand	æŋkəlkɑnt
enkelkanner	æŋkəlkɑnɐ
enkelkëndchen	æŋkəlkəntɕən
enkelkënnercher	æŋkəlkənɐɕɐ
enn	æn
enner	ænɐ
ënn	ən
ënnen	ənən
ënnchen	ənɕən
ënnercher	ənɐɕɐ
ënnenan	ənənɑn
ënner	ənɐ
ënnerbannen	ənɐbɑnən
ënnerbonnen	ənɐbonən
ënnerbeliicht	ənɐbəliːɕt
ënnerbesat	ənɐbəsaːt
ënnerbidden	ənɐbidən
ënnerbueden	ənɐbuədən
ënnerbotteren	ənɐbotəʀən
ënnergebottert	ənɐgəbotɐt
ënnerbreeden	ənɐbʀeːdən
ënnerbreet	ənɐbʀeːt
ënnerbréngen	ənɐbʀeŋən
ënnerbruecht	ənɐbʀuəɕt
ënnerbriechen	ənɐbʀiəɕən
ënnerbrach	ənɐbʀɑχ
ënnerbriechung	ənɐbʀiəɕuŋ
ënnerbriechungen	ənɐbʀiəɕuŋən
ënnerdaach	ənɐdaːχ
ënnerdauchen	ənɐdæːʊχən
ënnergedaucht	ənɐgədɑʊχt
ënnerdeelen	ənɐdeːlən
ënnerdeelt	ənɐdeːlt
ënnerdeelung	ənɐdeːluŋ
ënnerdeelungen	ənɐdeːluŋən
ënnerdrécken	ənɐdʀekən
ënnerdréckt	ənɐdʀekt
ënnerdreiwen	ənɐdʀɑɪvən
ënnerdriwwen	ənɐdʀivən
ënnereesbech	ənɐeːsbæɕ
ënnerem	ənɐəm
ënnerenaner	ənɐənaːnɐ
ënnereneen	ənəʀəneːn
ënnerentwéckelt	ənɐæntvekəlt
ënnererniert	ənɐɐniːɐt
ënnerfuerderen	ənɐfuːɐdəʀən
ënnerfuerdert	ənɐfuːɐdɐt
ënnergang	ənɐgɑŋ
ënnergank	ənɐgɑŋk
ënnergoen	ənɐgoːən
ënnergaangen	ənɐgaːŋən
ënnergruewen	ənɐgʀuəvən
ënnergegruewen	ənɐgəgʀuəvən
ënnerhalen	ənɐhaːlən
ënnerhalt	ənɐhɑlt
ënnerhalter	ənɐhɑltɐ
ënnerhuelen	ənɐhuələn
ënnerholl	ənɐhol
ënnerierdesch	ənɐiːɐdəʃ
ënnerkommen	ənɐkomən
ënnerkomm	ənɐkom
ënnerkréien	ənɐkʀɜɪən
ënnerkritt	ənɐkʀit
ënnerlafen	ənɐlaːfən
ënnerlaf	ənɐlaːf
ënnerlag	ənɐlaːχ
ënnerlagen	ənɐlaːʒən
ënnerlech	ənɐləɕ
ënnerleeën	ənɐleːən
ënnerleien	ənɐlɑɪən
ënnerleif	ənɐlɑɪf
ënnerleiwer	ənɐlɑɪvɐ
ënnerloossen	ənɐloːsən
ënnerlooss	ənɐloːs
ënnermaueren	ənɐmɑʊəʀən
ënnermauert	ənɐmɑʊɐt
ënneroffizéier	ənɐofitsɜɪɐ
ënneroffizéiesch	ənɐofitsɜɪəʃ
ënneroffizéieschen	ənɐofitsɜɪəʃən
ënnerplouen	ənɐpləʊən
ënnergeplout	ənɐgəpləʊt
ënnerschätzen	ənɐʃætsən
ënnerschat	ənɐʃaːt
ënnerscheed	ənɐʃeːt
ënnerscheeder	ənɐʃeːdɐ
ënnerscheeden	ənɐʃeːdən
ënnerscheet	ənɐʃeːt
ënnerschiddlech	ənɐʃidləɕ
schlënner	ʃlənɐ
ënnerschloen	ənɐʃloːən
ënnerschrëft	ənɐʃʀəft
ënnerschrëften	ənɐʃʀəftən
ënnerschreiwen	ənɐʃʀɑɪvən
ënnerschriwwen	ənɐʃʀivən
ënnersichen	ənɐziɕən
ënnersicht	ənɐziɕt
ënnerstad	ənɐʃtaːt
ënnerstied	ənɐʃtiət
ënnerstand	ənɐʃtɑnt
ënnerstänn	ənɐʃtæn
ënnerstellen	ənɐʃtælən
ënnerstallt	ənɐʃtɑlt
ënnergestallt	ənɐgəʃtɑlt
ënnerstellung	ənɐʃtæluŋ
ënnerstellungen	ənɐʃtæluŋən
ënnerstëtzen	ənɐʃtətsən
ënnerstëtzt	ənɐʃtətst
ënnerstëtzung	ənɐʃtətsuŋ
ënnerstëtzungen	ənɐʃtətsuŋən
ënnerstoen	ənɐʃtoːən
ënnerstanen	ənɐʃtaːnən
ënnersträichen	ənɐʃtʀæːɪɕən
ënnerstrach	ənɐʃtʀɑχ
ënnert	ənɐt
ënnertauchen	ənɐtæːʊχən
ënnergetaucht	ənɐgətæːʊχt
ënnertenaner	ənɐtənaːnɐ
ënnerteneen	ənɐtəneːn
ënnertitel	ənɐtitəl
ënnertitelen	ənɐtitələn
ënneruerdnen	ənɐuːɐdnən
ënnergeuerdent	ənɐgəuːɐdənt
ënnerwäsch	ənɐvæʃ
ënnerwee	ənɐveː
ënnerwerfen	ənɐvɛʀfən
ënnerworf	ənɐvɔʀf
ënnerzeechnung	ənɐtseːɕnuŋ
ënnescht	ənəʃt
enorm	enɔʀm
enquête	ɑ̃ːkwɛːə
enquêten	ɑ̃ːkwɛːən
enquêtéieren	ɑ̃ːkwɛːtɜɪəʀən
enquêtéiert	ɑ̃ːkwɛːtɜɪɐt
enquêteur	ɑ̃ːkwɛːtœːʀ
enquêteuren	ɑ̃ːkwɛːtœːʀən
enquêteuse	ɑ̃ːkwɛːtøːs
enquêteusen	ɑ̃ːkwɛːtøːsən
enquêtrice	ɑ̃ːkwɛːtʀis
enquêtricen	ɑ̃ːkwɛːtʀisən
enregistréieren	ɑ̃ːʀeːʑistʀɜɪəʀən
enregistréiert	ɑ̃ːʀeːʑistʀɜɪɐt
ënsber	ənsbɐ
enseignant	ɑ̃ːsæɲɑ̃ː
enseignanten	ɑ̃ːsæɲɑ̃ːən
enseignante	ɑ̃ːsæɲɑ̃ːə
enseignanteën	ɑ̃ːsæɲɑ̃ːntən
enseignéieren	ɑ̃ːsæɲɜɪəʀən
enseignéiert	ɑ̃ːsæɲɜɪɐt
enseignement	ɑ̃ːsæɲəmænt
ensembel	ɑ̃ːsæmbəl
ensembelen	ɑ̃ːsæmbələn
entaméieren	əntɑmɜɪəʀən
entaméiert	əntɑmɜɪɐt
entbannen	əntbɑnən
entbonnen	əntbonən
entbieren	əntbiːʀən
entbiert	əntbiːɐt
entdaachen	əntdaːχən
entdaacht	əntdaːχt
entdecken	əntdækən
entdeckt	əntdækt
entdecker	əntdækɐ
entdeckerin	əntdækəʀin
entdeckerinnen	əntdækəʀinən
entdeckung	əntdækuŋ
entdeckungen	əntdækuŋən
entdeeën	əntdeːən
entdeet	əntdeːt
enteegnen	əntiːɲən
enteegent	ənteːʑənt
enteegnung	ənteːgnuŋ
enteegnungen	ənteːgnuŋən
entente	əntɑ̃ːt
ententen	əntæntən
entertainer	əntɐtɛːnɐ
enteschbaach	əntəʃbaːχ
entfalen	əntfaːlən
entfall	əntfɑl
entfaalt	əntfaːlt
entféieren	əntfɜɪəʀən
entféiert	əntfɜɪɐt
entféierer	əntfɜɪəʀɐ
entféierung	əntfɜɪəʀuŋ
entféierungen	əntfɜɪəʀuŋən
entfueren	əntfuːɐʀən
entfuer	əntfuːɐ
entgeeschtert	əntgeːʃtɐt
entgéint	əntgɜɪnt
entgéintgesat	əntgɜɪntgəsaːt
entgéintgoen	əntgɜɪntgoːən
entgéintgaangen	əntgɜɪndgaːŋən
entgéinthalen	əntgɜɪnthaːlən
entgéintgehalen	əntgɜɪntgəhaːlən
entgéinthuelen	əntgɜɪnthuələn
entgéintgeholl	əntgɜɪntgəhol
entgéintkommen	əntgɜɪndkomən
entgéintkomm	əntgɜɪndkom
entgéintkucken	əntgɜɪndkukən
entgéintgekuckt	əntgɜɪntgəkukt
entgéintlafen	əntgɜɪntlaːfən
entgéintgelaf	əntgɜɪntgəlaːf
entgleisen	əntglɑɪzən
entgleist	əntglɑɪst
entgoen	əntgoːən
entgaangen	əntgaːŋən
enthalen	ənthaːlən
enthalung	ənthɑluŋ
enthalungen	ənthɑluŋən
enthusiasmus	ənthusjaːsmus
entierwen	əntiːɐvən
entierft	əntiːɐft
entkalleken	əntkɑlekən
entkallekt	əntkɑlekt
entkommen	əntkomən
entkomm	əntkom
entlaaschten	əntlaːʃtən
entlaascht	əntlaːʃt
entlaaschtung	əntlaːʃtuŋ
entlaaschtungen	əntlaːʃtuŋən
entlarven	əntlaːʀvən
entlarvt	əntlaːʀft
entleeën	əntleːən
entlëften	əntləftən
entlëft	əntləft
entloossen	əntloːsən
entlooss	əntloːs
entloossung	əntloːsuŋ
entloossungen	əntloːsuŋən
entmilitariséieren	əntmilitɑʀizɜɪəʀən
entmilitariséiert	əntmilitɑʀizɜɪɐt
entnäipen	əntnæːɪpən
entnäipt	əntnæːɪpt
entourage	əntuʀaːʃ
entrecôte	ɑ̃ːtʀəkoːt
entrecôten	ɑ̃ːtʀəkoːtən
entrée	ɑ̃ːtʀeː
entréeën	ɑ̃ːtʀeːən
entreprener	ɑ̃ːtʀəpʀənɐ
entrepreneren	ɑ̃ːtʀəpʀənəʀən
entreprenesch	ɑ̃ːtʀəpʀənəʃ
entrepreneschen	ɑ̃ːtʀəpʀənəʃən
entrepreneur	ɑ̃ːtʀəpʀənɐ
entrepreneuren	ɑ̃ːtʀəpʀənʀən
entrepreneurin	ɑ̃ːtʀəpʀənɐin
entrepreneurinnen	ɑ̃ːtʀəpʀənɐinən
entreprise	ɑ̃ːtʀəpʀizə
entreprisen	ɑ̃ːtʀəpʀizən
entre	ɑ̃ːtʀə
temps	tæmps
entretien	ɑ̃ːtʀətjɛ̃ː
entrevue	ɑ̃ːtʀəvyː
entrevuen	ɑ̃ːtʀəvyːən
entsat	əntsaːt
entschäerfen	əntʃɛːɐfən
entschäerft	əntʃɛːɐft
entscheeden	əntʃeːdən
entscheet	əntʃeːt
entscheedend	əntʃeːdənt
entscheedung	əntʃeːduŋ
entscheedungen	əntʃeːduŋən
entschëllegen	əntʃələʑən
entschëllegt	əntʃələɕt
entschëllegung	əntʃələʑuŋ
entschëllegungen	əntʃələʑuŋən
entschiedegen	əntʃiədəʑən
entschiedegt	əntʃiədəɕt
entschiedegung	əntʃiədəʑuŋ
entschiedegungen	əntʃiədəʑuŋən
entschlaken	əntʃlaːkən
entschlaakt	əntʃlaːkt
entschléissen	əntʃlɜɪsən
entschloss	əntʃlos
entschlësselen	əntʃləsələn
entschlësselt	əntʃləsəlt
entschlofen	əntʃloːfən
entschlof	əntʃloːf
entspanen	əntʃpaːnən
entspaant	əntʃpaːnt
entspanung	əntʃpaːnuŋ
entsprangen	əntʃpʀɑŋən
entsprongen	əntʃpʀoŋən
entspriechen	əntʃpʀiəɕən
entsprach	əntʃpʀɑχ
entspriechend	əntʃpʀiəɕənt
entstehung	əntʃtehuŋ
entstellen	əntʃtælən
entstallt	əntʃtɑlt
entstoen	əntʃtoːən
entstanen	əntʃtaːnən
entsuergen	əntzuːɐʑən
entsuergt	əntzuːɐɕt
entsuergung	əntzuːɐʑuŋ
enttäuschen	ɑ̃ːtɛːuʃən
enttäuscht	ɑ̃ːtoɪʃt
enttäuschung	ɑ̃ːtɛːuʃuŋ
enttäuschungen	ɑ̃ːtɛːuʃuŋən
enttompen	ɑ̃ːtompən
enttompt	ɑ̃ːtompt
entwäerten	əntvɛːɐtən
entwäert	əntvɛːɐt
entwäertung	əntvɛːɐtuŋ
entwäertungen	əntvɛːɐtuŋən
entwarnung	əntvɑʀnuŋ
entwässeren	əntvæsəʀən
entwässert	əntvæsɐt
entwéckelen	əntvekələn
entwéckelt	əntvekəlt
entwécklung	əntvekluŋ
entwécklungen	əntvekluŋən
entwécklungshëllef	əntvekluŋshələf
entwécklungsland	əntvekluŋslɑnt
entwécklungslänner	əntvekluŋslænɐ
entweder	əntveːdɐ
entwerfen	əntvɛʀfən
entworf	əntvɔʀf
entwëschen	əntvəʃən
entwëscht	əntvəʃt
entwërf	əntvɐf
entwutschen	əntvutʃən
entwutscht	əntvutʃt
entwutzen	əntvutsən
entwutzt	əntvutst
entzéien	ənttsɜɪən
entzunn	ənttsun
entzéiungskur	ənttsɜɪuŋskuːɐ
entzéiungskuren	ənttsɜɪuŋskuːʀən
entzifferen	ənttsifəʀən
entziffert	ənttsifɐt
entzuch	ənttsuχ
entzünden	ənttsyndən
entzünt	ənttsynt
entzündung	ənttsynduŋ
entzündungen	ənttsynduŋən
enveloppe	ɑ̃ːvəlop
enveloppen	ɑ̃ːvəlopən
envergure	ɑ̃ːvɛʀɕyːʀ
environnement	ɑ̃ːviʀonəmænt
envisagéieren	ɑ̃ːvizaːʒɜɪəʀən
envisagéiert	ɑ̃ːvizɑʒɜɪɐt
epaulette	epɑʊlæt
epauletten	epɑʊlætən
epicerie	episəʀiː
epicerien	episəʀiːən
epicier	episjeː
epicieren	episjeːən
epicière	episiɛːʀ
epicièren	episiɛːʀən
epidemie	epidemiː
epidemien	epidemiːən
epilatioun	epilatsjəʊn
epilatiounen	epilatsjəʊnən
epiléieren	epilɜɪəʀən
epiléiert	epilɜɪɐt
epilepsie	epileːpsiː
epileptesch	epilæptəʃ
epileptiker	epilæptikɐ
epileptikerin	epilæptikəʀin
epileptikerinnen	epilæptikəʀinən
episod	epizoːt
episoden	epizoːdən
episode	epizoːdə
epongen	epɑ̃ːʒən
eppelduerf	æpəlduːɐf
eppes	æpəs
epreuve	eːpʀøːf
epreuven	eːpʀøːvən
equiliber	eːkilibɐ
equilibréiert	eːkilibʀɜɪɐt
equipage	eːkipaːʃ
equipagen	eːkipaːʒən
equipe	eːkip
equippen	eːkipən
equipéieren	eːkipɜɪəʀən
equipéiert	eːkipɜɪɐt
equipement	eːkipəmænt
equipementer	eːkipəmæntɐ
equipier	eːkipjeː
equipieren	eːkipiːʀən
equipière	eːkipjɛːʀ
equipièren	eːkipjɛːʀən
equivalent	eːkiːvaːlænt
equivalenz	eːkiːvaːlænts
equivalenzen	eːkiːvaːlæntsən
er	ɐ
erabréngen	əʀɑbʀeŋən
erabruecht	əʀɑbʀuəɕt
erafalen	əʀɑfaːlən
eragefall	əʀɑgəfɑl
erafeieren	əʀɑfɑɪəʀən
eragefeiert	əʀɑgəfɑɪɐt
eraféieren	əʀɑfɜɪəʀən
erageféiert	əʀɑgəfɜɪɐt
eragefouert	əʀɑgəfəʊɐt
erafléien	əʀɑflɜɪən
erageflunn	əʀɑgəflun
erafriessen	əʀɑfʀiəsən
eragefriess	əʀɑgəfʀiəs
erafueren	əʀɑfuːɐʀən
eragefuer	əʀɑgəfuːɐ
eragesinn	əʀɑgəzin
eraginn	əʀɑgin
eragoen	əʀɑgoːən
eragaangen	əʀɑgaːŋən
eraklammen	əʀɑklɑmən
erageklommen	əʀɑgəklomən
eraknéien	əʀɑknɜɪən
erageknéit	əʀɑgəknɜɪt
erakommen	əʀɑkomən
erakomm	əʀɑkom
erakréien	əʀɑkʀɜɪən
erakritt	əʀɑkʀit
erakucken	əʀɑkukən
eragekuckt	əʀɑgəkukt
eralackelen	əʀɑlɑkələn
eragelackelt	əʀɑgelɑkəlt
eralafen	əʀɑlaːfən
eragelaf	əʀɑgəlaːf
eraleeën	əʀɑleːən
erageluecht	əʀɑgæluəɕt
eraloossen	əʀɑloːsən
eragelooss	əʀɑgæloːs
eramailen	əʀɑmɑɪlən
eragemailt	əʀɑgəmɑɪlt
eramarschéieren	əʀɑmaːʀʃɜɪəʀən
eramarschéiert	əʀɑmaːʀʃɜɪɐt
erandrécken	əʀɑndʀekən
eragedréckt	əʀɑgədʀekt
erandreiwen	əʀɑndʀɑɪvən
eragedriwwen	əʀɑgədʀivən
erandroen	əʀɑndʀoːən
eragedroen	əʀɑgədʀoːən
eranhuelen	əʀɑnhuələn
erageholl	əʀɑgəhol
erantrëllen	əʀɑntʀələn
eragetrollt	əʀɑgətʀolt
eranzéien	əʀɑntsɜɪən
eragezunn	əʀɑgətsun
erapassen	əʀɑpɑsən
eragepasst	əʀɑgəpɑst
eraplatzen	əʀɑplɑtsən
erageplatzt	əʀɑgəplɑtst
eraplënneren	əʀɑplənəʀən
erageplënnert	əʀɑgəplənɐt
eraquëtschen	əʀɑkətʃən
eragequëtscht	əʀɑgekətʃt
eraréckelen	əʀɑʀekələn
erageréckelt	əʀɑgəʀekəlt
erareechen	əʀɑʀeːɕən
eragereecht	əʀɑgəʀeːɕt
erareenen	əʀɑʀeːnən
eragereent	əʀɑgəʀeːnt
eraruffen	əʀɑʀufən
erageruff	əʀɑgəʀuf
eraschécken	əʀɑʃekən
erageschéckt	əʀɑgəʃekt
eraschéngen	əʀɑʃeŋən
erageschéngt	əʀɑgəʃeŋt
eraschläichen	əʀɑʃlæːɪɕən
erageschlach	əʀɑgəʃlɑχ
eraschleefen	əʀɑʃleːfən
erageschleeft	əʀɑgəʃleːft
eraschloen	əʀɑʃloːən
erageschloen	əʀɑgəʃloːən
eraschmuggelen	əʀɑʃmuχgələn
erageschmuggelt	əʀɑgəʃmygʒælt
eraschneien	əʀɑʃnɑɪən
erageschneit	əʀɑgəʃnɑɪt
eraspadséieren	əʀɑʃpɑdzɜɪəʀən
eraspadséiert	əʀɑʃpɑdzɜɪɐt
erastellen	əʀɑʃtælən
eragestallt	əʀɑgəʃtɑlt
erastiechen	əʀɑʃtiəɕən
eragestach	əʀɑgəʃtɑχ
erastierzen	əʀɑʃtiːɐtsən
eragestierzt	əʀɑgəʃtiːɐtst
erastolzéieren	əʀɑʃtoltsɜɪəʀən
erastolzéiert	əʀɑʃtoltsɜɪɐt
erastoussen	əʀɑʃtəʊsən
eragestouss	əʀɑgəʃtəʊs
erastrecken	əʀɑstʀækən
eragestreckt	əʀɑgəʃtʀækt
erausbréngen	əʀæːʊsbʀeŋən
erausbruecht	əʀæːʊsbʀuəɕt
erausdämpen	əʀæːʊsdæmpən
erausgedämpt	əʀæːʊsgədænt
erausdrécken	əʀæːʊsdʀekən
erausgedréckt	əʀæːʊsgədʀekt
erausdréien	əʀæːʊsdʀɜɪən
erausgedréit	əʀæːʊsgədʀɜɪt
erausdréinen	əʀæːʊsdʀɜɪnən
erausgedréint	əʀæːʊsgədʀɜɪnt
erausdreiwen	əʀæːʊsdʀɑɪvən
erausgedriwwen	əʀæːʊsgədʀivən
erausdroen	əʀæːʊsdʀoːən
erausgedroen	əʀæːʊsgədʀoːən
erauseekelen	əʀæːʊseːkələn
erausgëeekelt	əʀæːʊsgəeːkəlt
erausfalen	əʀæːʊsfaːlən
erausgefall	əʀæːʊsgəfɑl
erausfannen	əʀæːʊsfɑnən
erausfonnt	əʀæːʊsfont
erausféieren	əʀæːʊsfɜɪəʀən
erausgeféiert	əʀæːʊsgəfɜɪɐt
erausfëschen	əʀæːʊsfəʃən
erausgefëscht	əʀæːʊsgəfəʃt
erausfilteren	əʀæːʊsfiltəʀən
erausgefiltert	əʀæːʊsgəfiltɐt
erausfizen	əʀæːʊsfiːtsən
erausgefiizt	əʀæːʊsgəfiːtst
erausfléien	əʀæːʊsflɜɪən
erausgeflunn	əʀæːʊsgəflun
erausfuerderen	əʀæːʊsfuːɐdəʀən
erausgefuerdert	əʀæːʊsgəfuːɐdɐt
erausfuerderung	əʀæːʊsfuːɐdəʀuŋ
erausfuerderungen	əʀæːʊsfuːɐdəʀuŋən
erausfueren	əʀæːʊsfuːɐʀən
erausgefuer	əʀæːʊsgəfuːɐ
erausgeheien	əʀæːʊsgəhɑɪən
erausgehäit	əʀæːʊsgəhæːɪt
erausgesinn	əʀæːʊsgəzin
erausginn	əʀæːʊsgin
erausgoen	əʀæːʊsgoːən
erausgaangen	əʀæːʊsgaːŋən
eraushalen	əʀæːʊshaːlən
erausgehalen	əʀæːʊsgəhaːlən
eraushänken	əʀæːʊshæŋkən
erausgehaangen	əʀæːʊsgəhaːŋən
eraushéieren	əʀæːʊshɜɪəʀən
eraushëllefen	əʀæːʊshələfən
erausgehollef	əʀæːʊsgəholəf
eraushuelen	əʀæːʊshuələn
erausgeholl	əʀæːʊsgəhol
eraushunn	əʀæːʊshun
erausgehat	əʀæːʊsgəhaːt
erausjoen	əʀæːʊsjoːən
erausgejot	əʀæːʊsgəjoːt
erauskéieren	əʀæːʊskɜɪəʀən
erausgekéiert	əʀæːʊsgəkɜɪɐt
erauskieren	əʀæːʊskiːɐʀən
erausgekiert	əʀæːʊsgəkiːɐt
erausklammen	əʀæːʊsklɑmən
erausgeklommen	əʀæːʊsgəklomən
erauskommen	əʀæːʊskomən
erauskomm	əʀæːʊskom
erauskomplimentéieren	əʀæːʊskomplimæntɜɪəʀən
